[[1,3,1,14,4,11,1,0,0,9,1,0,0,0,0,3,7,4,0]
,[2,3,1,22,6,9,1,0,0,11,2,0,0,0,0,7,8,7,0]
,[1,3,1,10,1,11,2,0,0,5,2,0,0,0,0,2,5,3,0]
,[2,3,1,14,7,5,1,0,0,11,0,0,0,0,0,5,4,5,0]
,[1,3,1,12,5,9,3,0,0,12,1,0,0,0,0,1,8,3,0]
,[2,3,1,15,8,13,4,0,0,9,1,0,0,0,0,4,7,4,0]
,[1,3,1,7,5,12,2,0,0,12,1,0,0,0,0,3,3,1,0]
,[2,3,1,17,4,12,1,0,0,12,4,0,0,0,0,7,5,5,0]
,[1,3,1,13,4,14,4,0,0,6,3,0,0,0,0,4,6,3,0]
,[2,3,1,15,5,6,2,1,1,14,7,0,0,0,0,2,7,6,0]
,[1,3,1,10,3,7,1,0,0,9,1,0,0,0,0,4,3,3,0]
,[2,3,1,28,7,9,2,0,0,7,2,0,0,0,0,6,12,9,1]
,[1,3,1,9,4,6,1,0,0,6,3,0,0,0,0,2,6,1,0]
,[2,3,1,11,3,6,1,0,0,6,1,0,0,0,0,3,4,4,0]
,[1,3,1,12,2,12,3,0,0,10,0,0,0,0,0,3,4,4,1]
,[2,3,1,24,8,10,2,0,0,12,0,0,0,0,0,6,7,10,1]
,[1,3,1,10,1,8,3,1,0,5,1,0,0,0,0,3,4,3,0]
,[2,3,1,26,10,5,3,0,0,8,4,0,0,0,0,8,12,5,1]
,[1,3,1,8,6,7,3,0,0,7,2,0,0,0,0,1,5,2,0]
,[2,3,1,12,7,7,2,0,0,7,4,0,0,0,0,5,4,3,0]
,[1,3,1,19,6,14,0,0,0,10,5,0,0,0,0,8,9,2,0]
,[2,3,1,8,6,10,2,0,0,14,1,0,0,0,0,3,2,3,0]
,[1,3,1,15,5,12,2,0,0,6,4,0,0,0,0,4,5,6,0]
,[2,3,1,9,6,6,1,0,0,12,3,0,0,0,0,1,6,2,0]
,[1,3,2,11,4,12,1,0,0,14,1,0,0,0,0,5,3,3,0]
,[2,3,2,16,6,15,2,0,0,12,3,0,0,0,0,4,8,4,0]
,[1,3,2,8,5,12,3,0,0,13,0,0,0,0,0,4,2,2,0]
,[2,3,2,10,7,14,0,0,0,12,0,0,0,0,0,4,2,4,0]
,[1,3,2,13,4,17,3,0,0,5,3,0,0,0,0,2,6,4,1]
,[2,3,2,10,4,5,2,0,0,16,2,0,0,0,0,2,4,4,0]
,[1,3,2,15,7,10,5,1,0,6,0,0,0,0,0,4,6,5,0]
,[2,3,2,11,2,7,1,0,0,10,3,1,1,0,0,8,3,0,0]
,[1,3,2,13,9,10,1,0,0,4,0,1,0,0,0,4,6,3,0]
,[2,3,2,16,7,4,0,0,0,10,3,0,0,0,0,4,4,8,0]
,[1,3,2,15,3,11,4,0,0,9,6,0,0,0,0,4,4,7,0]
,[2,3,2,9,3,9,2,1,0,11,1,0,0,0,0,8,0,1,0]
,[1,3,1,6,0,19,4,0,0,9,1,1,0,0,0,2,2,2,0]
,[2,3,1,13,5,9,3,0,0,19,2,1,0,0,0,4,5,3,1]
,[1,3,1,6,1,17,3,0,0,8,0,0,1,0,0,2,2,2,0]
,[2,3,1,28,11,8,4,0,0,17,3,0,1,0,0,7,12,9,0]
,[1,3,1,7,5,12,2,0,0,14,1,1,0,0,0,3,2,2,0]
,[2,3,1,22,7,14,2,0,0,12,0,1,0,0,0,8,9,5,0]
,[1,3,1,12,2,12,2,0,0,10,0,1,0,0,0,1,7,4,0]
,[2,3,1,13,3,9,3,0,0,12,1,0,0,0,0,3,5,4,1]
,[1,3,1,8,5,14,3,0,0,9,1,1,0,0,0,3,4,1,0]
,[2,3,1,19,5,9,2,0,0,14,3,1,0,0,0,6,10,3,0]]
